0: Task 0: initiated in idle 
0: Task 2: initiated in idle 
0: Task 1: initiated in idle 
0: Task 4: initiated in idle 
0: Task 3: initiated in idle 
0: Task 5: initiated in idle 
0: Task 6: initiated in idle 
180: Task 0: idle -> finished, total time worked: 10 
180: Task 1: idle -> finished, total time worked: 100 
181: Task 0: running -> finished, total time worked: 10 
180: Task 6: idle -> finished, total time worked: 10 
181: Task 1: running -> finished, total time worked: 100 
181: Task 6: running -> finished, total time worked: 10 
180: Task 5: idle -> finished, total time worked: 10 
181: Task 5: running -> finished, total time worked: 10 
180: Task 4: idle -> finished, total time worked: 10 
181: Task 4: running -> finished, total time worked: 10 
180: Task 3: idle -> finished, total time worked: 20 
181: Task 3: running -> finished, total time worked: 20 
180: Task 2: idle -> finished, total time worked: 10 
181: Task 2: running -> finished, total time worked: 10 
